Designator,Mid X,Mid Y,Rotation,Layer
C1,169.25,-101.25,90.0,top
C10,154.8,-101.4,0.0,top
C11,156.8,-101.4,180.0,top
C12,161.25,-91.25,180.0,top
C13,163.75,-99.25,90.0,top
C14,154.0,-96.5,90.0,top
C15,164.0,-93.75,270.0,top
C16,165.0,-93.75,270.0,top
C17,153.8,-92.4,0.0,top
C18,154.2,-87.2,0.0,top
C2,167.75,-96.25,0.0,top
C3,167.75,-95.25,0.0,top
C4,159.25,-91.25,180.0,top
C5,163.75,-101.25,90.0,top
C6,174.1,-98.3,270.0,top
C7,171.1,-98.3,270.0,top
C8,161.25,-88.25,0.0,top
C9,161.25,-89.25,0.0,top
D2,151.0,-101.4,0.0,top
J2,151.0,-98.2,180.0,top
L2,161.25,-90.25,180.0,top
R1,180.5,-97.75,0.0,top
R2,180.5,-96.5,0.0,top
R3,172.6,-97.8,0.0,top
R4,159.25,-90.25,0.0,top
R5,169.6,-97.8,0.0,top
SW1,163.8,-88.0,270.0,top
SW2,159.0,-88.0,90.0,top
U1,166.5,-100.75,180.0,top
U2,158.9,-96.6,270.0,top
U3,154.6,-89.8,90.0,top
Y1,165.3,-96.0,180.0,top
